"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","no_hsdip","no_college","female_hd","foodstmp","home_val","income","GINI","povpct","unemploy"
48183,"""Gregg, (TX)""",65.6,"58.8 - 65.8 (50)",10,31.2,25.9,15.5,79.6,16.2,16,130,45.6,0.464,17.4,5.4
48185,"""Grimes, (TX)""",57.5,"50.8 - 58.7 (51)",10.5,30.4,28.3,21,86.3,15.7,13.7,110.1,50.9,0.504,16.7,5.7
48187,"""Guadalupe, (TX)""",41,"19.6 - 42.4 (52)",10.2,31.8,22.4,11.8,73.2,12.7,9.2,175,67.7,0.406,9.8,3.4
48189,"""Hale, (TX)""",57.1,"50.8 - 58.7 (51)",8.6,31.3,25.5,24.6,83.9,15.1,18.5,80.2,40.2,0.413,21.6,5.3
48191,"""Hall, (TX)""",64.3,"58.8 - 65.8 (50)",9.4,29.2,23.9,24.9,87.3,13.5,18,48.7,31,0.513,25.8,7.3
48193,"""Hamilton, (TX)""",79.4,"65.9 - 103.1 (50)",8.9,27.9,22.2,16.8,77.2,8.5,11.6,108.5,45.7,0.482,15.1,4.1
48195,"""Hansford, (TX)""",33.7,"19.6 - 42.4 (52)",8.5,30.2,24.2,29.1,84.1,5.9,6.5,93.5,57.8,0.465,13.4,2.7
48197,"""Hardeman, (TX)""",46.7,"42.5 - 50.7 (49)",9,29.3,24.5,22.5,85.6,9.2,14.5,38.4,35.5,0.463,17.8,4
48199,"""Hardin, (TX)""",60.2,"58.8 - 65.8 (50)",8.8,30.1,28.3,12.4,83.2,11.9,11.8,113.1,60.7,0.474,10.8,6.1
48201,"""Harris, (TX)""",59,"58.8 - 65.8 (50)",10.5,26.9,22.7,19.5,69.5,15.6,13.8,154.1,56.4,0.498,16.6,5.1
48203,"""Harrison, (TX)""",73.7,"65.9 - 103.1 (50)",11,34.9,29.8,16,81.2,13.3,16.8,115.1,47.2,0.478,17.4,5.6
48205,"""Hartley, (TX)""",54.2,"50.8 - 58.7 (51)",9,29,23.8,19.2,83,5.4,2.7,146.9,70.1,0.392,9.6,2.1
48207,"""Haskell, (TX)""",44.4,"42.5 - 50.7 (49)",8.8,28.1,25,30.4,87.7,11,15.5,49.2,34.7,0.446,24.5,5.5
48209,"""Hays, (TX)""",46.6,"42.5 - 50.7 (49)",9.8,27.5,17.8,11,63.4,10.2,7.5,204.7,64.9,0.451,12.4,3.3
48211,"""Hemphill, (TX)""",38.1,"19.6 - 42.4 (52)",8.8,28.3,23,24.1,77.3,7.3,5.8,130.7,74.9,0.424,10,3.1
48213,"""Henderson, (TX)""",68.5,"65.9 - 103.1 (50)",8.6,33.3,30.5,16.7,81.9,11.2,14.9,99,43.4,0.462,16.8,4.2
48215,"""Hidalgo, (TX)""",53.4,"50.8 - 58.7 (51)",10.1,30.1,20.9,36.3,82.2,21.8,29.3,82.4,35.9,0.49,31.2,7.5
48217,"""Hill, (TX)""",63.1,"58.8 - 65.8 (50)",9.2,29,27.2,18.9,83.6,11,13.8,93.7,47.3,0.455,16.2,4
48219,"""Hockley, (TX)""",64.5,"58.8 - 65.8 (50)",9.1,30.7,28.3,22.7,86.4,12.2,12.6,82.3,46.9,0.434,17.1,4
48221,"""Hood, (TX)""",38.9,"19.6 - 42.4 (52)",9.1,27.8,25.4,11.1,73.7,8.5,9.9,170.8,57.3,0.464,10.3,4.4
48223,"""Hopkins, (TX)""",59.3,"58.8 - 65.8 (50)",9.8,31.3,27.1,17,82.7,12.7,12.8,97.2,46.6,0.453,15.3,3.7
48225,"""Houston, (TX)""",58.8,"58.8 - 65.8 (50)",9.1,27.4,27.6,18.4,85.5,13.8,15,80.2,34.6,0.466,22.1,4.1
48227,"""Howard, (TX)""",73.9,"65.9 - 103.1 (50)",10,36.2,24.1,20.2,87.1,13.4,10.1,85.7,51.9,0.467,17.9,4.8
48229,"""Hudspeth, (TX)""",34.9,"19.6 - 42.4 (52)",9,29.4,22.9,49,92.4,13.3,24,44.1,35.3,0.481,21.4,6.7
48231,"""Hunt, (TX)""",85.6,"65.9 - 103.1 (50)",9.9,31.5,24.9,15.5,80.9,10.8,13.8,105,51.8,0.449,16.3,4
48233,"""Hutchinson, (TX)""",47,"42.5 - 50.7 (49)",9.3,30.9,29.8,14.5,86.3,12,10,75.5,53.9,0.444,13.1,6.7
48235,"""Irion, (TX)""",54,"50.8 - 58.7 (51)",8.5,28.7,22,6.2,85.2,6,4.4,146.4,67.2,0.469,8,3.2
48237,"""Jack, (TX)""",62.2,"58.8 - 65.8 (50)",8.6,28.4,23.2,19.7,88.6,9.3,9.5,81.4,47,0.464,17.2,4.2
48239,"""Jackson, (TX)""",59.8,"58.8 - 65.8 (50)",9.2,30.9,23.4,15.3,81.7,11.4,11.4,96.7,53.1,0.429,13.5,4.2
48241,"""Jasper, (TX)""",66.9,"65.9 - 103.1 (50)",10.6,31.6,22.7,14.1,88.4,11.2,16.2,97.4,44.9,0.445,19.2,7.7
48243,"""Jeff Davis, (TX)""",19.6,"19.6 - 42.4 (52)",8.5,26.5,21.7,20.4,63.7,1.3,6.5,111.3,46.7,0.371,13,3.4
48245,"""Jefferson, (TX)""",60.2,"58.8 - 65.8 (50)",11.8,34.2,28.6,16.2,81.1,16.3,16.7,101.3,46.2,0.491,20.1,7.2
48247,"""Jim Hogg, (TX)""",51.1,"50.8 - 58.7 (51)",9,28.5,21.1,28.4,88.7,19.7,29.4,61.8,33.8,0.5,27.9,8
48249,"""Jim Wells, (TX)""",75.5,"65.9 - 103.1 (50)",9,30,23.2,27,88.7,19.6,21.4,73.8,40.1,0.488,23.2,8.2
48251,"""Johnson, (TX)""",76.2,"65.9 - 103.1 (50)",8.5,29.2,21.7,15.9,81.5,11.5,12,132,59.8,0.409,11.3,3.9
48253,"""Jones, (TX)""",86.4,"65.9 - 103.1 (50)",9.4,30.3,25.9,22.4,89.1,11.2,10.1,73.1,40.9,0.473,21.3,5.9
48255,"""Karnes, (TX)""",44.2,"42.5 - 50.7 (49)",9.2,29.9,22.7,24.4,86.3,12.3,14.6,94.1,47.6,0.542,21.8,3.8
48257,"""Kaufman, (TX)""",64.8,"58.8 - 65.8 (50)",9.5,30.2,25.4,14,79.3,12.4,11.1,154,62.4,0.411,11.4,3.6
48259,"""Kendall, (TX)""",31.2,"19.6 - 42.4 (52)",7.3,25.9,18.9,6.9,61,9.2,5,297.7,83.8,0.459,7.4,3.2
48261,"""Kenedy, (TX)""",80.1,"65.9 - 103.1 (50)",8.8,27.1,21.5,58.7,93.5,25,17.7,21.3,38.7,0.429,16.2,3.7
48263,"""Kent, (TX)""",45.7,"42.5 - 50.7 (49)",8.6,27.6,21.9,22.8,76.2,4.4,7.1,70.5,45.1,0.472,11.5,2.9
48265,"""Kerr, (TX)""",33.8,"19.6 - 42.4 (52)",10.1,28.8,21.7,11.9,74.1,11.8,11.2,164,50.5,0.459,14.8,3.6
48267,"""Kimble, (TX)""",27.6,"19.6 - 42.4 (52)",8.7,31.4,23.6,16.8,80.7,9.5,10.8,107.2,40.1,0.504,19.4,4
48269,"""King, (TX)""",-1,,8.7,28.3,21.2,19.8,80.2,3,4.6,38.8,59.1,0.389,10.7,3.8
48271,"""Kinney, (TX)""",44.3,"42.5 - 50.7 (49)",8.6,28.9,20.8,25.7,88.5,3.8,14.4,64.2,40.6,0.44,20,6
48273,"""Kleberg, (TX)""",98.6,"65.9 - 103.1 (50)",9.3,28.5,22.7,22.1,75.9,12.5,19,86.8,44.1,0.466,22.9,6.1
48275,"""Knox, (TX)""",44.6,"42.5 - 50.7 (49)",9.2,29,22.3,17.7,79.5,8.2,16.2,44.4,37.6,0.407,21.1,3.9
48277,"""Lamar, (TX)""",73.1,"65.9 - 103.1 (50)",10.5,34.6,31.6,15.4,82.9,13.9,17,88.1,41.9,0.472,19.9,4.3
48279,"""Lamb, (TX)""",58.6,"50.8 - 58.7 (51)",9.5,32.3,22.9,26.3,83.6,14.1,18.6,62.7,37.8,0.451,21.5,5.5
48281,"""Lampasas, (TX)""",63.9,"58.8 - 65.8 (50)",8.1,29.1,24.7,11.3,79.9,9.6,13.1,136.8,52.6,0.418,13.6,3.7
48283,"""La Salle, (TX)""",76.8,"65.9 - 103.1 (50)",8.8,28.5,20.7,31.7,84.9,9.1,16.6,70.8,39.9,0.587,26.2,4.6
48285,"""Lavaca, (TX)""",35.4,"19.6 - 42.4 (52)",9.1,31.2,25.2,15.4,82.6,10.1,9.4,143.3,49,0.464,12.5,3.8
48287,"""Lee, (TX)""",61.5,"58.8 - 65.8 (50)",9.5,31.1,26.4,17.3,82.4,10.2,11.4,138.3,51.8,0.45,12.7,3.5
48289,"""Leon, (TX)""",55.7,"50.8 - 58.7 (51)",10.2,30,26,17.2,84.1,14.1,10.9,102.3,44.9,0.467,18,6.5
48291,"""Liberty, (TX)""",103.1,"65.9 - 103.1 (50)",10.1,28.2,25.2,22.9,90.7,12,14.7,93.2,48.6,0.444,15.9,7.3
48293,"""Limestone, (TX)""",56.9,"50.8 - 58.7 (51)",10.3,33.9,27.7,19.6,86.2,13.2,16.2,84.8,39.4,0.455,21.1,5.9
48295,"""Lipscomb, (TX)""",35,"19.6 - 42.4 (52)",8.6,28.2,24.1,18.6,81.2,8.7,5.5,92.4,54.2,0.443,12.4,3.5
48297,"""Live Oak, (TX)""",53.2,"50.8 - 58.7 (51)",9.4,28.9,23.8,21.5,88.7,7.6,10,84.9,52,0.437,17.2,5.5
48299,"""Llano, (TX)""",45.7,"42.5 - 50.7 (49)",8.4,28.4,23.9,13.5,73.4,5.2,9,184.5,48.1,0.521,13.4,3.7
48301,"""Loving, (TX)""",-1,,9,27.9,21.6,20.3,95.3,9.7,0.9,-1,64.2,0.34,13.3,6
48303,"""Lubbock, (TX)""",58.4,"50.8 - 58.7 (51)",8.5,32.4,27.1,14.5,71.3,13.8,13.4,122.7,48.6,0.482,18.9,3.2
48305,"""Lynn, (TX)""",55.2,"50.8 - 58.7 (51)",9.1,27.9,22.9,23.1,83,16,16,76.8,39.9,0.5,17.9,3.9
48307,"""McCulloch, (TX)""",37.4,"19.6 - 42.4 (52)",8.7,28.5,24.4,21.1,84,13.5,13.1,82,40.1,0.45,18.4,4.2
48309,"""McLennan, (TX)""",60.7,"58.8 - 65.8 (50)",9.6,30.6,23.6,16,77.1,15.3,14.8,125.2,46.7,0.478,18.5,3.9
48311,"""McMullen, (TX)""",48.4,"42.5 - 50.7 (49)",8.8,31.3,26.7,15.5,79.3,13.9,6.8,74.7,67.2,0.548,12,1.8
48313,"""Madison, (TX)""",61.2,"58.8 - 65.8 (50)",9.7,29.5,23.7,21.7,87,11.7,12.9,101.7,42.4,0.448,17.3,4.7
48315,"""Marion, (TX)""",70.9,"65.9 - 103.1 (50)",10.5,31.3,25.1,17.9,85.9,8.8,19.1,88.6,34.9,0.513,22.6,6.3
48317,"""Martin, (TX)""",38.1,"19.6 - 42.4 (52)",8.5,29.6,25.1,22.3,79.4,12.4,10.2,120.5,58.8,0.446,13,3.7
48319,"""Mason, (TX)""",31.7,"19.6 - 42.4 (52)",8.9,27.9,21.9,11.2,79.7,10.9,7.3,156.4,44.8,0.434,13.2,3.8
48321,"""Matagorda, (TX)""",77.8,"65.9 - 103.1 (50)",10.1,30.8,24.4,22.5,85.3,12,15.2,102.2,46.3,0.469,17.4,7.2
48323,"""Maverick, (TX)""",63.1,"58.8 - 65.8 (50)",9.6,30.4,24.9,40.8,88.2,17.7,28.4,95.1,35.7,0.472,24.3,10
48325,"""Medina, (TX)""",49.1,"42.5 - 50.7 (49)",10.6,31.6,20.7,17.3,80,10.7,13.2,134.4,51.3,0.447,14.4,4
48327,"""Menard, (TX)""",47.5,"42.5 - 50.7 (49)",9.1,28.5,23.1,20.9,84.2,8.6,10.3,60.8,34.8,0.432,21.4,6.6
48329,"""Midland, (TX)""",42.4,"19.6 - 42.4 (52)",8.2,32.7,25.6,16.3,73.2,12.7,6.8,187.4,68.7,0.476,9.7,3.4
48331,"""Milam, (TX)""",65.7,"58.8 - 65.8 (50)",9,31.5,21.7,18.3,85,12.5,18.7,88.5,42.3,0.449,16.3,5
48333,"""Mills, (TX)""",44.5,"42.5 - 50.7 (49)",8.5,28.1,23.6,17.1,77,8.3,7.7,111.2,43.5,0.449,15.8,3.6
48335,"""Mitchell, (TX)""",42.9,"42.5 - 50.7 (49)",9.3,30.6,22.8,24.6,88.2,10.1,10.6,65.7,41.3,0.395,21.6,6.1
