,cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,povpct,perc_aian,perc_api,perc_black,perc_white,perc_hisp,perc_65up,total_pop,year,Y
90,48181,"""Grayson, (TX)""",22.0,20.0 - 23.7 (52),9.1,30.5,25.4,13.2,1.2,1.3,5.5,76.3,12.6,17.2,126146,2005-2007,2775.21
91,48183,"""Gregg, (TX)""",22.6,20.0 - 23.7 (52),10.0,31.2,25.9,17.4,0.3,1.4,20.0,58.3,18.1,14.5,123402,2005-2007,2788.89
92,48185,"""Grimes, (TX)""",16.2,16.1 - 19.9 (51),10.5,30.4,28.3,16.7,0.2,0.1,15.5,58.6,23.6,16.0,27358,2005-2007,443.2
93,48187,"""Guadalupe, (TX)""",24.3,23.8 - 27.7 (49),10.2,31.8,22.4,9.8,0.2,1.6,7.0,51.3,37.3,13.1,150889,2005-2007,3666.6
94,48189,"""Hale, (TX)""",20.2,20.0 - 23.7 (52),8.6,31.3,25.5,21.6,0.0,0.2,4.4,34.5,58.7,12.9,34527,2005-2007,697.45
95,48191,"""Hall, (TX)""",19.4,16.1 - 19.9 (51),9.4,29.2,23.9,25.8,0.0,0.4,7.4,56.7,34.1,22.7,3102,2005-2007,60.18
96,48193,"""Hamilton, (TX)""",62.1,27.8 - 62.1 (49),8.9,27.9,22.2,15.1,0.7,0.1,0.6,85.0,12.0,25.4,8220,2005-2007,510.46
97,48195,"""Hansford, (TX)""",11.9,11.5 - 16.0 (51),8.5,30.2,24.2,13.4,0.1,0.0,0.0,53.3,46.4,15.5,5532,2005-2007,65.83
98,48197,"""Hardeman, (TX)""",15.3,11.5 - 16.0 (51),9.0,29.3,24.5,17.8,0.4,0.4,6.9,68.6,21.3,20.0,3990,2005-2007,61.05
99,48199,"""Hardin, (TX)""",21.7,20.0 - 23.7 (52),8.8,30.1,28.3,10.8,0.2,0.5,5.6,87.0,5.3,15.8,55993,2005-2007,1215.05
100,48201,"""Harris, (TX)""",20.9,20.0 - 23.7 (52),10.5,26.9,22.7,16.6,0.1,6.8,18.5,30.6,42.2,9.6,4525519,2005-2007,94583.35
101,48203,"""Harrison, (TX)""",25.2,23.8 - 27.7 (49),11.0,34.9,29.8,17.4,0.3,0.7,21.3,63.8,12.7,15.6,66606,2005-2007,1678.47
102,48205,"""Hartley, (TX)""",14.6,11.5 - 16.0 (51),9.0,29.0,23.8,9.6,0.0,1.3,8.4,59.5,26.2,13.9,5821,2005-2007,84.99
103,48207,"""Haskell, (TX)""",18.6,16.1 - 19.9 (51),8.8,28.1,25.0,24.5,0.5,0.7,3.1,65.8,27.6,21.2,5806,2005-2007,107.99
104,48209,"""Hays, (TX)""",13.8,11.5 - 16.0 (51),9.8,27.5,17.8,12.4,0.2,1.3,3.4,55.2,37.7,10.2,194843,2005-2007,2688.83
105,48211,"""Hemphill, (TX)""",16.4,16.1 - 19.9 (51),8.8,28.3,23.0,10.0,0.3,0.3,0.7,61.8,35.1,12.4,4152,2005-2007,68.09
106,48213,"""Henderson, (TX)""",26.5,23.8 - 27.7 (49),8.6,33.3,30.5,16.8,0.8,0.7,6.5,78.9,12.1,21.3,79687,2005-2007,2111.71
107,48215,"""Hidalgo, (TX)""",27.3,23.8 - 27.7 (49),10.1,30.1,20.9,31.2,0.0,0.9,0.4,6.5,91.8,10.4,839539,2005-2007,22919.41
108,48217,"""Hill, (TX)""",25.4,23.8 - 27.7 (49),9.2,29.0,27.2,16.2,0.2,0.4,6.2,71.3,19.9,20.2,35098,2005-2007,891.49
109,48219,"""Hockley, (TX)""",45.3,27.8 - 62.1 (49),9.1,30.7,28.3,17.1,0.5,0.2,3.6,47.7,46.9,13.5,23273,2005-2007,1054.27
110,48221,"""Hood, (TX)""",13.3,11.5 - 16.0 (51),9.1,27.8,25.4,10.3,0.8,0.8,0.6,84.8,11.9,24.0,55418,2005-2007,737.06
111,48223,"""Hopkins, (TX)""",27.0,23.8 - 27.7 (49),9.8,31.3,27.1,15.3,0.2,0.7,6.6,73.9,16.3,17.6,35929,2005-2007,970.08
112,48225,"""Houston, (TX)""",30.3,27.8 - 62.1 (49),9.1,27.4,27.6,22.1,0.1,0.3,24.9,61.9,10.6,20.9,22849,2005-2007,692.32
113,48227,"""Howard, (TX)""",27.1,23.8 - 27.7 (49),10.0,36.2,24.1,17.9,0.6,0.8,5.1,50.0,41.1,12.5,36491,2005-2007,988.91
114,48229,"""Hudspeth, (TX)""",15.2,11.5 - 16.0 (51),9.0,29.4,22.9,21.4,0.0,1.1,1.4,18.4,78.3,16.3,3702,2005-2007,56.27
115,48231,"""Hunt, (TX)""",27.7,23.8 - 27.7 (49),9.9,31.5,24.9,16.3,0.7,1.2,7.7,72.8,15.3,15.6,90322,2005-2007,2501.92
116,48233,"""Hutchinson, (TX)""",14.2,11.5 - 16.0 (51),9.3,30.9,29.8,13.1,1.3,0.8,1.9,71.2,22.5,15.3,21704,2005-2007,308.2
117,48235,"""Irion, (TX)""",13.4,11.5 - 16.0 (51),8.5,28.7,22.0,8.0,0.0,0.0,3.2,72.4,22.8,17.7,1592,2005-2007,21.33
118,48237,"""Jack, (TX)""",26.4,23.8 - 27.7 (49),8.6,28.4,23.2,17.2,0.3,0.1,4.4,77.9,16.2,16.0,8839,2005-2007,233.35
119,48239,"""Jackson, (TX)""",19.1,16.1 - 19.9 (51),9.2,30.9,23.4,13.5,0.0,0.3,7.1,59.3,32.2,16.6,14756,2005-2007,281.84
