"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","povpct","perc_aian","perc_api","perc_black","perc_white","perc_hisp","perc_65up","total_pop"
48243,"""Jeff Davis, (TX)""",12.4,"4.4 - 13.4 (52)",8.5,26.5,21.7,13,0.1,1.4,0.6,60.8,36.2,31.2,2236
48245,"""Jefferson, (TX)""",21.4,"20.1 - 24.2 (52)",11.8,34.2,28.6,20.1,0.2,3.6,33.7,41.6,19.5,13.7,254574
48247,"""Jim Hogg, (TX)""",44,"24.3 - 52.5 (48)",9,28.5,21.1,27.9,0,0,0,5.8,93.8,18.6,5262
48249,"""Jim Wells, (TX)""",30.3,"24.3 - 52.5 (48)",9,30,23.2,23.2,0,0.6,0.5,18.2,80.2,14.3,41318
48251,"""Johnson, (TX)""",22.4,"20.1 - 24.2 (52)",8.5,29.2,21.7,11.3,0.4,1.1,2.8,73.6,20.2,13.5,160173
48253,"""Jones, (TX)""",22.2,"20.1 - 24.2 (52)",9.4,30.3,25.9,21.3,0.1,0.2,14.4,54.7,27.1,14.7,19969
48255,"""Karnes, (TX)""",15.4,"13.5 - 16.5 (49)",9.2,29.9,22.7,21.8,0,0.1,8.7,37.7,52.9,14.3,15051
48257,"""Kaufman, (TX)""",26.3,"24.3 - 52.5 (48)",9.5,30.2,25.4,11.4,0.4,1.1,10.3,66.5,19.8,11.8,114852
48259,"""Kendall, (TX)""",10.2,"4.4 - 13.4 (52)",7.3,25.9,18.9,7.4,0,0.7,0.6,73.5,23,18.6,40306
48261,"""Kenedy, (TX)""",26,"24.3 - 52.5 (48)",8.8,27.1,21.5,16.2,0,0.1,0,11.3,88.4,14.7,564
48263,"""Kent, (TX)""",16,"13.5 - 16.5 (49)",8.6,27.6,21.9,11.5,0.5,0,0.7,77,21.6,27.9,680
48265,"""Kerr, (TX)""",7.5,"4.4 - 13.4 (52)",10.1,28.8,21.7,14.8,0.1,1,1.4,69.8,26.1,26.7,50761
48267,"""Kimble, (TX)""",4.4,"4.4 - 13.4 (52)",8.7,31.4,23.6,19.4,0.4,0,0,74.3,23.6,30.1,4432
48269,"""King, (TX)""",-1,,8.7,28.3,21.2,10.7,0,0,0,73.3,26.6,7.3,289
48271,"""Kinney, (TX)""",17,"16.6 - 20.0 (51)",8.6,28.9,20.8,20,0,0,0.1,38,61.8,17.6,3631
48273,"""Kleberg, (TX)""",37.9,"24.3 - 52.5 (48)",9.3,28.5,22.7,22.9,0.1,2,3.4,20.9,72.3,12.7,31540
48275,"""Knox, (TX)""",17.4,"16.6 - 20.0 (51)",9.2,29,22.3,21.1,0.1,0.1,5.9,59.3,33.4,18.4,3753
48277,"""Lamar, (TX)""",19.8,"16.6 - 20.0 (51)",10.5,34.6,31.6,19.9,0.3,1.1,12.3,74.9,7.4,18.4,49401
48279,"""Lamb, (TX)""",21,"20.1 - 24.2 (52)",9.5,32.3,22.9,21.5,0.2,0.5,3.6,39.7,54.9,16,13368
48281,"""Lampasas, (TX)""",15.5,"13.5 - 16.5 (49)",8.1,29.1,24.7,13.6,0.4,2.1,3,72.8,19.2,17.7,20473
48283,"""La Salle, (TX)""",24,"20.1 - 24.2 (52)",8.8,28.5,20.7,26.2,0,0.1,1.2,17.6,79.9,15.7,7418
48285,"""Lavaca, (TX)""",5.8,"4.4 - 13.4 (52)",9.1,31.2,25.2,12.5,0,0.3,6.6,74.2,18,22.5,19859
48287,"""Lee, (TX)""",19,"16.6 - 20.0 (51)",9.5,31.1,26.4,12.7,0,0.8,10.9,63.6,23.2,17.3,16850
48289,"""Leon, (TX)""",22.6,"20.1 - 24.2 (52)",10.2,30,26,18,0.5,0.9,7.1,76.5,14.1,23.5,16966
