"","cnty_fips","display_name","Y","theme_range","X","year","E","SIR"
"185",48369,"""Parmer, (TX)""",35.2,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.65
"186",48371,"""Pecos, (TX)""",68.7,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.26
"187",48373,"""Polk, (TX)""",50.9,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.93
"188",48375,"""Potter, (TX)""",51.5,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.95
"189",48377,"""Presidio, (TX)""",26.5,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.49
"190",48379,"""Rains, (TX)""",75.9,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.39
"191",48381,"""Randall, (TX)""",44.8,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.82
"192",48383,"""Reagan, (TX)""",49,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.9
"193",48385,"""Real, (TX)""",42.1,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.77
"194",48387,"""Red River, (TX)""",67.5,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.24
"195",48389,"""Reeves, (TX)""",30.4,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.56
"196",48391,"""Refugio, (TX)""",48.8,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.9
"197",48393,"""Roberts, (TX)""",42.1,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.77
"198",48395,"""Robertson, (TX)""",63.2,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.16
"199",48397,"""Rockwall, (TX)""",43.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.8
"200",48399,"""Runnels, (TX)""",45.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.84
"201",48401,"""Rusk, (TX)""",67.1,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.23
"202",48403,"""Sabine, (TX)""",48.3,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.89
"203",48405,"""San Augustine, (TX)""",54.7,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1
"204",48407,"""San Jacinto, (TX)""",90.3,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.66
"205",48409,"""San Patricio, (TX)""",59.3,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.09
"206",48411,"""San Saba, (TX)""",40.8,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.75
"207",48413,"""Schleicher, (TX)""",41.2,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.76
"208",48415,"""Scurry, (TX)""",43.3,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.79
"209",48417,"""Shackelford, (TX)""",43.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.8
"210",48419,"""Shelby, (TX)""",64.6,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.19
"211",48421,"""Sherman, (TX)""",51.9,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.95
"212",48423,"""Smith, (TX)""",59,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.08
"213",48425,"""Somervell, (TX)""",60.1,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"214",48427,"""Starr, (TX)""",57.1,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.05
